Time,Blade,Action,Type,Interface,Origin,Source,Source User Name,Destination,Service,Application Risk,Application Name,Application Category,Access Rule Name,Resource,User,Description,
"Sep 1, 2022 3:32:46 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,172.25.192.101,,104.199.240.237,TCP_1-1024,Low,Spotify,Media Streams,VNIT Blocked sites and apps,,,,
"Sep 1, 2022 3:32:46 PM","Application Control,URL Filtering",Accept,Session,,gateway.vnit.ac.in,10.19.0.25,,129.226.27.10,http,Unknown,in.teddymobile.cn,Shopping,VNIT allowed sites and applications computers and business added on 290921,"http://110.in.teddymobile.cn/v5/phone,http://110.in.teddymobile.cn/v5/phone",,,
"Sep 1, 2022 3:32:46 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,192.168.17.37,,52.98.57.162,https,Very Low,Office365-Outlook-web,Email,VNIT allowed sites and applications computers and business added on 290921,,,,
"Sep 1, 2022 3:32:46 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,10.15.7.244,,172.217.160.208,https,Low,Google Cloud Platform,Computers / Internet,Library section allowed,,,,
"Sep 1, 2022 3:32:46 PM","Content Awareness,Application Control",Accept,Session,,gateway.vnit.ac.in,10.10.1.5,,91.108.56.177,TCP_1-1024,Medium,Telegram,Instant Messaging,VNIT Blocked sites and apps,"http://91.108.56.177:80/api,http://91.108.56.177:80/api",,,
"Sep 1, 2022 3:32:46 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,10.14.0.26,,52.184.81.210,TCP_1-1024,Low,MSN-web,Search Engines / Portals,VNIT Blocked sites and apps,,,,
"Sep 1, 2022 3:32:46 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,10.13.0.59,,31.13.79.32,TCP_1-1024,Low,Facebook,Social Networking,VNIT Blocked sites and apps,,,,
"Sep 1, 2022 3:32:46 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,172.25.97.30,,ec2-52-74-13-196.ap-southeast-1.compute.amazonaws.com (52.74.13.196),https,Low,Yahoo Analytics,Business / Economy,VNIT allowed sites and applications computers and business added on 290921,,,,
"Sep 1, 2022 3:32:46 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,10.19.0.25,,129.227.206.232,http,Very Low,Taobao,Business / Economy,VNIT allowed sites and applications computers and business added on 290921,"http://www.taobao.com/,http://www.taobao.com/",,,
"Sep 1, 2022 3:32:46 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,172.25.192.101,,whatsapp-chatd-edge-shv-02-bom1.facebook.com (31.13.79.54),TCP_1-1024,Low,WhatsApp Messenger,Instant Messaging,VNIT Blocked sites and apps,,,,
"Sep 1, 2022 3:32:46 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,10.13.0.59,,G-8.8.8.8 (8.8.8.8),UDP_1-1024,Unknown,Unknown Traffic,Unknown Traffic,VNIT Blocked sites and apps,,,,
"Sep 1, 2022 3:32:46 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,172.27.43.115,,52.113.199.107,https,Low,Microsoft Teams,Web Conferencing,VNIT allowed sites and applications computers and business added on 290921,,,,
"Sep 1, 2022 3:32:46 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,172.25.75.219,,whatsapp-cdn-shv-01-bom1.fbcdn.net (157.240.16.52),TCP_1-1024,Low,WhatsApp Messenger,Instant Messaging,VNIT Blocked sites and apps,,,,
"Sep 1, 2022 3:32:46 PM",Application Control,Drop,Session,,gateway.vnit.ac.in,10.15.13.129,,157.240.2.54,jabber,Low,WhatsApp Messenger,Instant Messaging,Library section,http://c.whatsapp.net/chat,,,
"Sep 1, 2022 3:32:45 PM","Application Control,URL Filtering",Accept,Session,,gateway.vnit.ac.in,10.87.51.4,,172.217.167.226,https,Medium,Google Ads,Web Advertisements,VNIT allowed sites and applications computers and business added on 290921,,,,
"Sep 1, 2022 3:32:45 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,10.4.4.215,,20.191.46.211,https,Low,Microsoft Services,Computers / Internet,VNIT allowed sites and applications computers and business added on 290921,,,,
"Sep 1, 2022 3:32:45 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,10.87.59.166,,bom12s18-in-f14.1e100.net (142.250.192.142),https,Low,Google Analytics,Business / Economy,VNIT allowed sites and applications computers and business added on 290921,,,,
"Sep 1, 2022 3:32:45 PM","Application Control,URL Filtering",Accept,Session,,gateway.vnit.ac.in,192.168.11.12,,104.71.38.213,https,Low,Apple Services,Web Services Provider,VNIT allowed sites and applications computers and business added on 290921,http://ocsp.apple.com/ocsp03-apevsecc1g101/MFYwVKADAgEAME0wSzBJMAkGBSsOAwIaBQAEFJmhPV4znWiZ8vYtNEnKD7etVqcdBBTghUh9E6bTEBmfXMtreCSS+K4brgIQTddqoYwESAHbqXN4sDOEwg==,,,
