Index,Protocol,Local Address,Remote Address,Local Port,Remote Port,Local Host,Remote Host,Service Name,Packets,Data Size,Total Size,Data Speed,Capture Time,Last Packet Time,Duration
1,UDP,10.15.6.38,10.15.15.255,137,137,DESKTOP-2V9TO1H,,netbios-ns,8,400 Bytes,702 Bytes,0.0 KB/Sec,11/8/2022 12:52:20 PM:649,11/8/2022 12:53:38 PM:378,01:17.7
2,UDP,10.15.13.152,255.255.255.255,17500,17500,LAPTOP-V3AH0CSC,,,7,938 Bytes,"1,296 Bytes",0.0 KB/Sec,11/8/2022 12:52:21 PM:273,11/8/2022 12:54:21 PM:744,02:00.5
3,UDP,10.15.13.152,10.15.15.255,17500,17500,LAPTOP-V3AH0CSC,,,4,536 Bytes,810 Bytes,0.0 KB/Sec,11/8/2022 12:52:21 PM:277,11/8/2022 12:54:21 PM:744,02:00.5
4,UDP,10.15.12.65,239.255.255.250,63171,1900,,,ssdp,1,174 Bytes,404 Bytes,,11/8/2022 12:52:21 PM:294,11/8/2022 12:52:21 PM:294,00:00.0
5,UDP,10.15.13.182,10.0.2.4,57921,2,Likhita-PC,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:52:21 PM:435,11/8/2022 12:52:21 PM:435,00:00.0
6,UDP,10.15.13.182,10.0.2.4,30792,51677,Likhita-PC,,,"10,570","105,700 Bytes","401,698 Bytes",0.9 KB/Sec,11/8/2022 12:52:21 PM:436,11/8/2022 12:54:21 PM:442,02:00.0
7,UDP,10.15.13.182,10.0.2.4,57921,3,Likhita-PC,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:52:21 PM:437,11/8/2022 12:52:21 PM:437,00:00.0
8,UDP,10.15.13.182,10.0.2.4,57921,4,Likhita-PC,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:52:21 PM:439,11/8/2022 12:52:21 PM:439,00:00.0
9,UDP,10.15.13.182,10.0.2.4,57921,5,Likhita-PC,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:52:21 PM:440,11/8/2022 12:52:21 PM:440,00:00.0
10,UDP,10.15.13.182,10.0.2.4,57921,6,Likhita-PC,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:52:21 PM:442,11/8/2022 12:52:21 PM:442,00:00.0
