Index,Protocol,Local Address,Remote Address,Local Port,Remote Port,Local Host,Remote Host,Service Name,Packets,Data Size,Total Size,Data Speed,Capture Time,Last Packet Time,Duration
1,UDP,10.15.13.200,255.255.255.255,17500,17500,,,,6,804 Bytes,"1,134 Bytes",0.0 KB/Sec,11/8/2022 12:52:05 PM:073,11/8/2022 12:53:36 PM:866,01:31.8
2,UDP,10.15.13.200,10.15.15.255,17500,17500,,,,3,402 Bytes,648 Bytes,0.0 KB/Sec,11/8/2022 12:52:05 PM:079,11/8/2022 12:53:36 PM:866,01:31.8
3,UDP,10.15.13.168,224.0.0.251,5353,5353,,,,3,340 Bytes,559 Bytes,0.0 KB/Sec,11/8/2022 12:52:05 PM:382,11/8/2022 12:53:40 PM:911,01:35.5
4,UDP,10.15.6.38,10.15.15.255,137,137,DESKTOP-2V9TO1H,,netbios-ns,5,250 Bytes,468 Bytes,0.0 KB/Sec,11/8/2022 12:52:05 PM:387,11/8/2022 12:53:24 PM:508,01:19.1
5,UDP,10.15.3.58,224.0.0.251,5353,5353,,,,5,257 Bytes,486 Bytes,0.0 KB/Sec,11/8/2022 12:52:05 PM:388,11/8/2022 12:53:24 PM:515,01:19.1
6,UDP,10.15.12.65,239.255.255.250,63171,1900,,,ssdp,2,348 Bytes,606 Bytes,0.3 KB/Sec,11/8/2022 12:52:05 PM:391,11/8/2022 12:52:06 PM:412,00:01.0
7,UDP,10.15.3.58,10.15.15.255,57621,57621,,,,1,40 Bytes,136 Bytes,,11/8/2022 12:52:05 PM:688,11/8/2022 12:52:05 PM:688,00:00.0
8,UDP,10.15.9.184,224.0.0.251,5353,5353,,,,6,"1,078 Bytes","1,375 Bytes",0.0 KB/Sec,11/8/2022 12:52:05 PM:690,11/8/2022 12:53:47 PM:841,01:42.2
9,UDP,10.15.0.171,255.255.255.255,4002,4002,,,,10,770 Bytes,"1,155 Bytes",0.0 KB/Sec,11/8/2022 12:52:05 PM:693,11/8/2022 12:53:41 PM:821,01:36.1
10,UDP,10.15.0.170,255.255.255.255,4002,4002,,,,10,770 Bytes,"1,155 Bytes",0.0 KB/Sec,11/8/2022 12:52:05 PM:828,11/8/2022 12:53:41 PM:822,01:36.0
11,UDP,10.15.0.93,224.0.0.251,5353,5353,,,,2,684 Bytes,"1,300 Bytes",0.3 KB/Sec,11/8/2022 12:52:05 PM:829,11/8/2022 12:52:08 PM:066,00:02.2
12,UDP,10.15.13.215,224.0.0.251,5353,5353,,,,4,266 Bytes,467 Bytes,0.0 KB/Sec,11/8/2022 12:52:05 PM:916,11/8/2022 12:54:03 PM:397,01:57.5
13,UDP,10.15.13.166,239.255.255.250,64131,1900,DESKTOP-OE9L8AE,,ssdp,1,125 Bytes,306 Bytes,,11/8/2022 12:52:06 PM:213,11/8/2022 12:52:06 PM:213,00:00.0
