Index,Protocol,Local Address,Remote Address,Local Port,Remote Port,Local Host,Remote Host,Service Name,Packets,Data Size,Total Size,Data Speed,Capture Time,Last Packet Time,Duration
1,UDP,192.168.0.119,239.255.255.250,53085,1900,,,ssdp,3,375 Bytes,612 Bytes,0.7 KB/Sec,10/26/2022 12:36:21 PM:986,10/26/2022 12:36:22 PM:498,00:00.5
2,UDP,192.168.0.191,10.0.2.15,50554,1,Sumedha,,,1,"1,472 Bytes","3,000 Bytes",,10/26/2022 12:36:26 PM:762,10/26/2022 12:36:26 PM:762,00:00.0
3,UDP,192.168.0.191,10.0.2.15,4005,26924,Sumedha,,,"3,199","31,990 Bytes","121,600 Bytes",1.0 KB/Sec,10/26/2022 12:36:26 PM:763,10/26/2022 12:36:57 PM:051,00:30.3
4,UDP,192.168.0.191,10.0.2.15,50554,2,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",,10/26/2022 12:36:26 PM:765,10/26/2022 12:36:26 PM:767,00:00.0
5,UDP,192.168.0.191,10.0.2.15,50554,3,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",,10/26/2022 12:36:26 PM:768,10/26/2022 12:36:26 PM:769,00:00.0
6,UDP,192.168.0.191,10.0.2.15,50554,4,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",,10/26/2022 12:36:26 PM:770,10/26/2022 12:36:26 PM:771,00:00.0
7,UDP,192.168.0.191,10.0.2.15,50554,5,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",,10/26/2022 12:36:26 PM:771,10/26/2022 12:36:26 PM:773,00:00.0
8,UDP,192.168.0.191,10.0.2.15,50554,6,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",179.7 KB/Sec,10/26/2022 12:36:26 PM:774,10/26/2022 12:36:26 PM:775,00:00.0
9,UDP,192.168.0.191,10.0.2.15,50554,7,Sumedha,,echo,2,"2,944 Bytes","4,500 Bytes",,10/26/2022 12:36:26 PM:775,10/26/2022 12:36:26 PM:776,00:00.0
10,UDP,192.168.0.191,10.0.2.15,50554,8,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",,10/26/2022 12:36:26 PM:780,10/26/2022 12:36:26 PM:780,00:00.0
11,UDP,192.168.0.191,10.0.2.15,50554,9,Sumedha,,discard,2,"2,944 Bytes","4,500 Bytes",,10/26/2022 12:36:26 PM:781,10/26/2022 12:36:26 PM:782,00:00.0
12,UDP,192.168.0.191,10.0.2.15,50554,10,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",,10/26/2022 12:36:26 PM:783,10/26/2022 12:36:26 PM:784,00:00.0
13,UDP,192.168.0.191,10.0.2.15,50554,11,Sumedha,,systat,2,"2,944 Bytes","4,500 Bytes",,10/26/2022 12:36:26 PM:784,10/26/2022 12:36:26 PM:785,00:00.0
14,UDP,192.168.0.191,10.0.2.15,50554,12,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",,10/26/2022 12:36:26 PM:786,10/26/2022 12:36:26 PM:786,00:00.0
15,UDP,192.168.0.191,10.0.2.15,50554,13,Sumedha,,daytime,2,"2,944 Bytes","4,500 Bytes",,10/26/2022 12:36:26 PM:787,10/26/2022 12:36:26 PM:787,00:00.0
16,UDP,192.168.0.191,10.0.2.15,50554,14,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",,10/26/2022 12:36:26 PM:788,10/26/2022 12:36:26 PM:789,00:00.0
17,UDP,192.168.0.191,10.0.2.15,50554,15,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",,10/26/2022 12:36:26 PM:791,10/26/2022 12:36:26 PM:791,00:00.0
18,UDP,192.168.0.191,10.0.2.15,50554,16,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",,10/26/2022 12:36:26 PM:791,10/26/2022 12:36:26 PM:791,00:00.0
19,UDP,192.168.0.191,10.0.2.15,50554,17,Sumedha,,qotd,2,"2,944 Bytes","4,500 Bytes",,10/26/2022 12:36:26 PM:792,10/26/2022 12:36:26 PM:794,00:00.0
20,UDP,192.168.0.191,10.0.2.15,50554,18,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",,10/26/2022 12:36:26 PM:795,10/26/2022 12:36:26 PM:795,00:00.0
21,UDP,192.168.0.191,10.0.2.15,50554,19,Sumedha,,chargen,2,"2,944 Bytes","4,500 Bytes",,10/26/2022 12:36:26 PM:796,10/26/2022 12:36:26 PM:797,00:00.0
