Index,Protocol,Local Address,Remote Address,Local Port,Remote Port,Local Host,Remote Host,Service Name,Packets,Data Size,Total Size,Data Speed,Capture Time,Last Packet Time,Duration
1,TCP,10.15.13.179,173.222.73.76,57335,443,Sumedha,a173-222-73-76.deploy.static.akamaitechnologies.com,https,37,"14,712 Bytes","16,510 Bytes",30.7 KB/Sec,11/8/2022 12:14:50 PM:704,11/8/2022 12:14:51 PM:179,00:00.5
2,TCP,10.15.13.179,173.222.73.76,57336,443,Sumedha,a173-222-73-76.deploy.static.akamaitechnologies.com,https,41,"15,098 Bytes","17,092 Bytes",20.5 KB/Sec,11/8/2022 12:14:50 PM:770,11/8/2022 12:14:51 PM:492,00:00.7
3,UDP,10.15.13.179,8.8.4.4,58258,53,Sumedha,dns.google,domain,4,258 Bytes,438 Bytes,7.9 KB/Sec,11/8/2022 12:14:50 PM:799,11/8/2022 12:14:50 PM:842,00:00.0
4,TCP,10.15.13.179,34.117.223.223,57337,443,Sumedha,analytics-prod-gcp.ff.avast.com,https,25,"8,938 Bytes","10,177 Bytes",24.3 KB/Sec,11/8/2022 12:14:50 PM:878,11/8/2022 12:14:51 PM:244,00:00.4
5,UDP,10.15.8.5,224.0.0.251,5353,5353,,,,2,186 Bytes,363 Bytes,0.0 KB/Sec,11/8/2022 12:14:51 PM:122,11/8/2022 12:17:53 PM:821,03:02.7
6,UDP,10.15.13.186,239.255.255.250,37207,1900,,,ssdp,1,125 Bytes,306 Bytes,,11/8/2022 12:14:51 PM:530,11/8/2022 12:14:51 PM:530,00:00.0
7,UDP,10.15.13.182,239.255.255.250,50131,1900,,,ssdp,3,522 Bytes,808 Bytes,0.2 KB/Sec,11/8/2022 12:14:51 PM:533,11/8/2022 12:14:53 PM:585,00:02.1
8,UDP,10.15.9.152,224.0.0.251,5353,5353,,,,3,231 Bytes,420 Bytes,0.0 KB/Sec,11/8/2022 12:14:51 PM:654,11/8/2022 12:18:14 PM:559,03:22.9
9,UDP,10.15.12.114,239.255.255.250,38800,1900,,,ssdp,3,375 Bytes,612 Bytes,0.6 KB/Sec,11/8/2022 12:14:51 PM:733,11/8/2022 12:14:52 PM:353,00:00.6
10,UDP,10.15.0.171,255.255.255.255,4002,4002,,,,6,462 Bytes,735 Bytes,0.0 KB/Sec,11/8/2022 12:14:52 PM:145,11/8/2022 12:18:14 PM:616,03:22.5
11,UDP,10.15.13.155,224.0.0.251,5353,5353,,,,3,338 Bytes,555 Bytes,0.0 KB/Sec,11/8/2022 12:14:52 PM:147,11/8/2022 12:17:53 PM:888,03:01.7
12,UDP,10.15.0.170,255.255.255.255,4002,4002,,,,7,539 Bytes,840 Bytes,0.0 KB/Sec,11/8/2022 12:14:52 PM:148,11/8/2022 12:18:14 PM:620,03:22.5
13,UDP,10.15.13.179,8.8.4.4,54792,53,Sumedha,dns.google,domain,4,438 Bytes,626 Bytes,0.3 KB/Sec,11/8/2022 12:14:52 PM:155,11/8/2022 12:14:53 PM:613,00:01.5
14,UDP,10.15.13.176,224.0.0.251,5353,5353,,,,10,498 Bytes,851 Bytes,0.0 KB/Sec,11/8/2022 12:14:52 PM:286,11/8/2022 12:15:38 PM:049,00:45.8
15,UDP,10.15.13.176,239.255.255.250,47123,1900,,,ssdp,5,625 Bytes,918 Bytes,0.1 KB/Sec,11/8/2022 12:14:52 PM:351,11/8/2022 12:14:59 PM:483,00:07.1
16,UDP,10.15.13.193,224.0.0.251,5353,5353,,,,3,"1,502 Bytes","1,984 Bytes",0.0 KB/Sec,11/8/2022 12:14:52 PM:555,11/8/2022 12:17:17 PM:003,02:24.4
17,TCP,10.15.13.179,52.202.11.188,57260,443,Sumedha,ec2-52-202-11-188.compute-1.amazonaws.com,https,12,"5,215 Bytes","5,915 Bytes",0.1 KB/Sec,11/8/2022 12:14:53 PM:087,11/8/2022 12:15:35 PM:813,00:42.7
18,UDP,10.15.13.179,4.2.2.2,54792,53,Sumedha,,domain,2,96 Bytes,228 Bytes,,11/8/2022 12:14:53 PM:173,11/8/2022 12:14:53 PM:173,00:00.0
19,TCP,10.15.13.179,204.79.197.222,61312,443,Sumedha,,https,2,"1,188 Bytes","1,902 Bytes",,11/8/2022 12:14:53 PM:236,11/8/2022 12:14:53 PM:236,00:00.0
