Index,Protocol,Local Address,Remote Address,Local Port,Remote Port,Local Host,Remote Host,Service Name,Packets,Data Size,Total Size,Data Speed,Capture Time,Last Packet Time,Duration
1,TCP,10.0.2.15,41.63.105.0,49699,80,,https-41-63-105-0.hyd.llnw.net,http,214,"257,800 Bytes","267,860 Bytes",3227.7 KB/Sec,10/25/2022 8:39:11 AM:097,10/25/2022 8:39:43 AM:672,00:32.6
2,TCP,10.0.2.15,41.63.105.128,49709,80,,https-41-63-105-128.hyd.llnw.net,http,36,"32,122 Bytes","33,603 Bytes",667.4 KB/Sec,10/25/2022 8:39:12 AM:160,10/25/2022 8:39:25 AM:176,00:13.0
3,TCP,10.0.2.15,41.63.105.128,49698,80,,https-41-63-105-128.hyd.llnw.net,http,298,"365,003 Bytes","376,964 Bytes",5749.2 KB/Sec,10/25/2022 8:39:12 AM:160,10/25/2022 8:39:38 AM:362,00:26.2
4,TCP,10.0.2.15,117.18.232.240,49696,80,,,http,114,"131,402 Bytes","136,003 Bytes",2069.7 KB/Sec,10/25/2022 8:39:12 AM:176,10/25/2022 8:39:30 AM:012,00:17.8
5,TCP,10.0.2.15,41.63.105.128,49694,80,,https-41-63-105-128.hyd.llnw.net,http,4,"1,461 Bytes","1,662 Bytes",,10/25/2022 8:39:12 AM:176,10/25/2022 8:39:13 AM:332,00:01.2
6,TCP,10.0.2.15,20.190.146.35,49719,443,,,https,40,"18,746 Bytes","20,567 Bytes",106.4 KB/Sec,10/25/2022 8:39:13 AM:488,10/25/2022 8:41:03 AM:307,01:49.8
7,UDP,10.0.2.15,192.168.0.1,64355,53,,,domain,1,37 Bytes,130 Bytes,,10/25/2022 8:39:15 AM:645,10/25/2022 8:39:15 AM:645,00:00.0
8,TCP,10.0.2.15,20.190.145.169,49720,443,,,https,21,"8,655 Bytes","9,721 Bytes",49.1 KB/Sec,10/25/2022 8:39:15 AM:957,10/25/2022 8:41:03 AM:307,01:47.3
9,UDP,10.0.2.15,192.168.0.1,51803,53,,,domain,2,340 Bytes,470 Bytes,,10/25/2022 8:39:18 AM:566,10/25/2022 8:39:18 AM:566,00:00.0
10,TCP,10.0.2.15,13.107.42.12,49721,443,,1drv.ms,https,40,"30,016 Bytes","31,851 Bytes",186.7 KB/Sec,10/25/2022 8:39:18 AM:597,10/25/2022 8:40:41 AM:746,01:23.1
11,UDP,10.0.2.15,192.168.0.1,50985,53,,,domain,2,158 Bytes,275 Bytes,,10/25/2022 8:39:19 AM:676,10/25/2022 8:39:19 AM:676,00:00.0
12,UDP,10.0.2.15,192.168.0.1,61590,53,,,domain,2,246 Bytes,374 Bytes,,10/25/2022 8:39:19 AM:911,10/25/2022 8:39:19 AM:911,00:00.0
13,UDP,10.0.2.15,192.168.0.1,65325,53,,,domain,2,290 Bytes,408 Bytes,,10/25/2022 8:39:20 AM:020,10/25/2022 8:39:20 AM:051,00:00.0
