Index,Protocol,Local Address,Remote Address,Local Port,Remote Port,Local Host,Remote Host,Service Name,Packets,Data Size,Total Size,Data Speed,Capture Time,Last Packet Time,Duration
1,UDP,10.0.2.15,239.255.255.250,61970,1900,,,ssdp,6,"1,050 Bytes","1,421 Bytes",64.1 KB/Sec,10/25/2022 9:17:06 AM:289,10/25/2022 9:17:09 AM:461,00:03.2
2,TCP,10.0.2.15,8.241.158.254,50198,80,,,http,"5,231","5,521,379 Bytes","5,731,102 Bytes",3000.5 KB/Sec,10/25/2022 9:17:06 AM:957,10/25/2022 9:20:51 AM:146,03:44.2
3,TCP,10.0.2.15,13.107.4.50,50129,80,,,http,"7,847","8,545,417 Bytes","8,859,779 Bytes",3237.1 KB/Sec,10/25/2022 9:17:06 AM:957,10/25/2022 9:24:46 AM:314,07:39.4
4,TCP,10.0.2.15,41.63.105.0,50055,80,,https-41-63-105-0.hyd.llnw.net,http,"9,295","9,651,211 Bytes","10,023,490 Bytes",3633.4 KB/Sec,10/25/2022 9:17:06 AM:957,10/25/2022 9:24:50 AM:306,07:43.3
5,TCP,10.0.2.15,8.241.164.126,50199,80,,,http,144,"134,062 Bytes","140,305 Bytes",1678.5 KB/Sec,10/25/2022 9:17:06 AM:957,10/25/2022 9:17:37 AM:263,00:30.3
6,TCP,10.0.2.15,41.63.105.128,50050,80,,https-41-63-105-128.hyd.llnw.net,http,"8,383","8,748,494 Bytes","9,084,190 Bytes",3314.0 KB/Sec,10/25/2022 9:17:06 AM:973,10/25/2022 9:24:46 AM:695,07:39.7
7,TCP,10.0.2.15,41.63.105.128,50083,80,,https-41-63-105-128.hyd.llnw.net,http,61,"49,539 Bytes","52,458 Bytes",343.1 KB/Sec,10/25/2022 9:17:06 AM:973,10/25/2022 9:18:07 AM:158,01:00.2
8,TCP,10.0.2.15,13.107.4.50,50153,80,,,http,"8,021","8,752,246 Bytes","9,073,568 Bytes",3598.8 KB/Sec,10/25/2022 9:17:07 AM:629,10/25/2022 9:23:16 AM:424,06:08.8
9,TCP,10.0.2.15,41.63.105.128,50154,80,,https-41-63-105-128.hyd.llnw.net,http,63,"51,749 Bytes","54,645 Bytes",358.4 KB/Sec,10/25/2022 9:17:07 AM:677,10/25/2022 9:18:08 AM:017,01:00.3
10,UDP,10.0.2.15,142.250.196.4,57847,443,,maa03s44-in-f4.1e100.net,https,15,"1,643 Bytes","2,506 Bytes",,10/25/2022 9:17:08 AM:467,10/25/2022 9:17:09 AM:321,00:00.9
