"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.137.1","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"2","0.384720","192.168.137.64","142.250.183.14","UDP","1285","55872  >  443 Len=1243"
"3","0.385031","192.168.137.64","142.250.183.14","UDP","1292","55872  >  443 Len=1250"
"4","0.385232","192.168.137.64","142.250.183.14","UDP","1292","55872  >  443 Len=1250"
"5","0.385410","192.168.137.64","142.250.183.14","UDP","1292","55872  >  443 Len=1250"
"6","0.385586","192.168.137.64","142.250.183.14","UDP","1292","55872  >  443 Len=1250"
"7","0.385767","192.168.137.64","142.250.183.14","UDP","1292","55872  >  443 Len=1250"
"8","0.385935","192.168.137.64","142.250.183.14","UDP","1292","55872  >  443 Len=1250"
"9","0.386113","192.168.137.64","142.250.183.14","UDP","1292","55872  >  443 Len=1250"
"10","0.386283","192.168.137.64","142.250.183.14","UDP","1292","55872  >  443 Len=1250"
"11","0.386443","192.168.137.64","142.250.183.14","UDP","267","55872  >  443 Len=225"
"12","0.389657","192.168.137.64","142.250.183.206","UDP","1285","49422  >  443 Len=1243"
"13","0.389914","192.168.137.64","142.250.183.206","UDP","1292","49422  >  443 Len=1250"
"14","0.390098","192.168.137.64","142.250.183.206","UDP","1292","49422  >  443 Len=1250"
"15","0.390262","192.168.137.64","142.250.183.206","UDP","1292","49422  >  443 Len=1250"
"16","0.390407","192.168.137.64","142.250.183.206","UDP","1292","49422  >  443 Len=1250"
"17","0.390556","192.168.137.64","142.250.183.206","UDP","1292","49422  >  443 Len=1250"
"18","0.390705","192.168.137.64","142.250.183.206","UDP","1292","49422  >  443 Len=1250"
"19","0.390867","192.168.137.64","142.250.183.206","UDP","1292","49422  >  443 Len=1250"
"20","0.390993","192.168.137.64","142.250.183.206","UDP","1292","49422  >  443 Len=1250"
"21","0.391148","192.168.137.64","142.250.183.206","UDP","1292","49422  >  443 Len=1250"
"22","0.391331","192.168.137.64","142.250.183.206","UDP","1292","49422  >  443 Len=1250"
"23","0.391506","192.168.137.64","142.250.183.206","UDP","1292","49422  >  443 Len=1250"
"24","0.391683","192.168.137.64","142.250.183.206","UDP","274","49422  >  443 Len=232"
"25","0.404643","142.250.183.14","192.168.137.64","UDP","71","443  >  55872 Len=29"
"26","0.404643","142.250.183.14","192.168.137.64","UDP","72","443  >  55872 Len=30"
"27","0.404866","142.250.183.206","192.168.137.64","UDP","74","443  >  49422 Len=32"
"28","0.408002","142.250.183.206","192.168.137.64","UDP","68","443  >  49422 Len=26"
"29","0.408700","142.250.183.14","192.168.137.64","UDP","68","443  >  55872 Len=26"
"30","0.409243","192.168.137.64","142.250.183.206","UDP","76","49422  >  443 Len=34"
"31","0.409679","192.168.137.64","142.250.183.14","UDP","75","55872  >  443 Len=33"
"32","0.412283","142.250.183.206","192.168.137.64","UDP","68","443  >  49422 Len=26"
"33","0.614339","192.168.137.64","142.250.183.14","UDP","75","55872  >  443 Len=33"
"34","0.615266","142.250.183.14","192.168.137.64","UDP","724","443  >  55872 Len=682"
"35","0.615266","142.250.183.14","192.168.137.64","UDP","152","443  >  55872 Len=110"
"36","0.615266","142.250.183.14","192.168.137.64","UDP","724","443  >  55872 Len=682"
"37","0.615842","192.168.137.64","142.250.183.14","UDP","78","55872  >  443 Len=36"
"38","0.616054","192.168.137.64","142.250.183.14","UDP","76","55872  >  443 Len=34"
"39","0.635121","142.250.183.14","192.168.137.64","UDP","68","443  >  55872 Len=26"
"40","0.922174","142.250.183.206","192.168.137.64","UDP","748","443  >  49422 Len=706"
"41","0.922174","142.250.183.206","192.168.137.64","UDP","68","443  >  49422 Len=26"
"42","0.922174","216.58.203.10","192.168.137.64","UDP","122","443  >  49299 Len=80"
"43","0.922174","216.58.203.10","192.168.137.64","UDP","68","443  >  49299 Len=26"
"44","0.922174","142.250.183.206","192.168.137.64","UDP","748","443  >  49422 Len=706"
"45","0.922174","216.58.203.10","192.168.137.64","UDP","122","443  >  49299 Len=80"
