"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.86.11.73","52.184.81.210","TLSv1.2","959","Application Data"
"2","0.123908","10.86.11.73","52.184.81.210","TCP","1444","60259  >  443 [ACK] Seq=906 Ack=1 Win=1022 Len=1390 [TCP segment of a reassembled PDU]"
"3","0.123908","10.86.11.73","52.184.81.210","TLSv1.2","537","Application Data"
"4","0.129378","10.86.11.73","52.184.81.210","TLSv1.2","964","Application Data"
"5","0.157641","52.184.81.210","10.86.11.73","TCP","1464","443  >  60259 [ACK] Seq=1 Ack=906 Win=1024 Len=1410 [TCP segment of a reassembled PDU]"
"6","0.157641","52.184.81.210","10.86.11.73","TCP","1464","443  >  60259 [ACK] Seq=1411 Ack=906 Win=1024 Len=1410 [TCP segment of a reassembled PDU]"
"7","0.157641","52.184.81.210","10.86.11.73","TCP","1464","443  >  60259 [ACK] Seq=2821 Ack=906 Win=1024 Len=1410 [TCP segment of a reassembled PDU]"
"8","0.157751","10.86.11.73","52.184.81.210","TCP","54","60259  >  443 [ACK] Seq=3689 Ack=4231 Win=1024 Len=0"
"9","0.157941","52.184.81.210","10.86.11.73","TCP","1464","443  >  60259 [ACK] Seq=4231 Ack=906 Win=1024 Len=1410 [TCP segment of a reassembled PDU]"
"10","0.157941","52.184.81.210","10.86.11.73","TLSv1.2","409","Application Data"
"11","0.157985","10.86.11.73","52.184.81.210","TCP","54","60259  >  443 [ACK] Seq=3689 Ack=5996 Win=1024 Len=0"
"12","0.158214","52.184.81.210","10.86.11.73","TLSv1.2","92","Application Data"
"13","0.158255","10.86.11.73","52.184.81.210","TCP","54","60259  >  443 [ACK] Seq=3689 Ack=6034 Win=1023 Len=0"
"14","0.161878","10.86.9.228","10.86.15.255","NBNS","92","Name query NB LAPTOP-2IDJQS4N<1c>"
"15","0.161878","4a:ac:bd:67:7d:e6","Broadcast","ARP","60","Who has 172.27.0.1? Tell 172.27.8.229"
"16","0.230399","52.184.81.210","10.86.11.73","TCP","60","443  >  60259 [ACK] Seq=6034 Ack=2779 Win=1024 Len=0"
