Index,Protocol,Local Address,Remote Address,Local Port,Remote Port,Local Host,Remote Host,Service Name,Packets,Data Size,Total Size,Data Speed,Capture Time,Last Packet Time,Duration
1,UDP,10.15.0.171,255.255.255.255,4002,4002,,,,"1,217","93,709 Bytes","127,890 Bytes",0.0 KB/Sec,11/11/2022 5:23:50 PM:340,11/12/2022 2:56:31 PM:867,32:41.5
2,UDP,0.0.0.0,255.255.255.255,68,67,,,bootpc,363,"112,692 Bytes","123,194 Bytes",0.0 KB/Sec,11/11/2022 5:23:50 PM:647,11/12/2022 2:56:31 PM:521,32:40.9
3,UDP,10.15.0.66,10.15.15.255,57621,57621,,,,57,"2,508 Bytes","4,176 Bytes",0.0 KB/Sec,11/11/2022 5:23:51 PM:458,11/11/2022 5:52:38 PM:026,28:46.6
4,UDP,10.15.10.91,10.15.15.255,137,137,,,netbios-ns,25,"1,250 Bytes","2,028 Bytes",0.0 KB/Sec,11/11/2022 5:23:52 PM:794,11/11/2022 5:36:05 PM:260,12:12.5
5,UDP,10.15.0.170,255.255.255.255,4002,4002,,,,"1,237","95,249 Bytes","129,990 Bytes",0.0 KB/Sec,11/11/2022 5:23:53 PM:108,11/12/2022 2:56:40 PM:400,32:47.3
6,UDP,10.15.0.59,10.15.15.255,57621,57621,,,,4,160 Bytes,340 Bytes,0.0 KB/Sec,11/11/2022 5:23:55 PM:049,11/11/2022 5:30:30 PM:513,06:35.5
7,UDP,10.15.15.251,10.15.15.255,137,137,,,netbios-ns,58,"2,900 Bytes","4,602 Bytes",0.0 KB/Sec,11/11/2022 5:23:55 PM:969,11/11/2022 5:34:50 PM:215,10:54.2
8,UDP,10.15.9.111,142.250.183.138,49532,443,LAPTOP-54PG1OGH,bom07s31-in-f10.1e100.net,https,77,"4,503 Bytes","6,720 Bytes",0.0 KB/Sec,11/11/2022 5:23:58 PM:022,11/11/2022 5:27:17 PM:902,03:19.9
9,TCP,10.15.9.111,20.198.119.143,59943,443,LAPTOP-54PG1OGH,,https,84,"5,261 Bytes","8,705 Bytes",0.0 KB/Sec,11/11/2022 5:23:59 PM:064,11/11/2022 5:39:18 PM:362,15:19.3
10,UDP,10.15.9.111,8.8.4.4,58588,443,LAPTOP-54PG1OGH,dns.google,https,14,"1,808 Bytes","2,434 Bytes",37.6 KB/Sec,11/11/2022 5:24:03 PM:318,11/11/2022 5:24:03 PM:376,00:00.1
11,UDP,10.15.9.111,172.217.174.238,50482,443,LAPTOP-54PG1OGH,bom12s03-in-f14.1e100.net,https,20,"8,096 Bytes","9,934 Bytes",23.1 KB/Sec,11/11/2022 5:24:03 PM:360,11/11/2022 5:24:03 PM:694,00:00.3
12,UDP,10.15.14.4,255.255.255.255,51829,3289,,,,2,28 Bytes,126 Bytes,0.0 KB/Sec,11/11/2022 5:24:04 PM:157,11/11/2022 5:24:14 PM:091,00:09.9
13,TCP,10.15.9.111,172.217.194.188,59954,443,LAPTOP-54PG1OGH,si-in-f188.1e100.net,https,86,143 Bytes,"4,068 Bytes",0.0 KB/Sec,11/11/2022 5:24:08 PM:730,11/11/2022 5:53:03 PM:231,28:54.5
14,UDP,10.15.9.111,239.255.255.250,50484,1900,LAPTOP-54PG1OGH,,ssdp,8,"1,400 Bytes","1,827 Bytes",0.5 KB/Sec,11/11/2022 5:24:09 PM:166,11/11/2022 5:24:12 PM:193,00:03.0
15,UDP,10.15.9.111,239.255.255.250,50486,1900,LAPTOP-54PG1OGH,,ssdp,8,"1,392 Bytes","1,818 Bytes",0.4 KB/Sec,11/11/2022 5:24:09 PM:189,11/11/2022 5:24:12 PM:216,00:03.0
16,TCP,10.15.9.111,140.82.114.25,61272,443,LAPTOP-54PG1OGH,lb-140-82-114-25-iad.github.com,https,48,585 Bytes,"2,666 Bytes",0.0 KB/Sec,11/11/2022 5:24:11 PM:305,11/11/2022 5:28:53 PM:529,04:42.2
17,UDP,10.15.15.249,10.15.15.255,51869,137,,,netbios-ns,1,50 Bytes,156 Bytes,,11/11/2022 5:24:13 PM:480,11/11/2022 5:24:13 PM:480,00:00.0
18,UDP,10.15.15.249,10.15.15.255,138,138,,,netbios-dgm,20,"3,480 Bytes","4,242 Bytes",0.0 KB/Sec,11/11/2022 5:24:21 PM:157,11/11/2022 5:51:01 PM:574,26:40.4
