Time,Creation Time,Interface Direction,Policy Rule UID,Type,Index Time,App Protocol,Policy Date,Action,ID,aggregated_log_count,Interface Name,Application ID,Layer Name,Last Update Sequence Number,Direction of Connection,Sequence Number,Source Zone,Access Rule Name,Browse Time,Marker,Number of Connections,Protocol,Application Risk,Application Category,Policy Management,Last Update Time,Destination,Application Name,Confidence Level,Last Update Time,Rule,Interface,Duration,All Application Categories,Service ID,Matched Category,Destination Country,Severity,Product Family,Blade,Source,update_count,Policy Name,Destination Zone,Database Tag,Log Server Origin,Service,Origin,Destination Port,Log Server IP,stored,layer_uuid_rule_uuid,High Level Log key,logid,sig_id,Application Signature ID,Application Description,Method,Resource,Web Client Type,Received Bytes,Packets,Client Outbound Packets,Traffic Sent Bytes,Server Inbound Packets,Server Inbound Bytes,Sent Bytes,Client Inbound Bytes,Client Inbound Packets,Client Outbound Bytes,Traffic Received Bytes,Server Outbound Packets,Server Outbound Bytes,Total Bytes,Traffic Total Bytes,Client Type OS,Number of URLs,Description,Source Port,certificate_resource,certificate_validation,Number of files,Frequency,UserCheck ID,UserCheck Reference,Log ID,UserCheck Interaction Name,User Check,Confirmation Scope,UserCheck Message to User,,
"﻿""Sep 1"," 2022 3:31:56 PM""",2022-09-01T10:01:56Z,inbound,08739ec8-c102-4f82-b6ce-6f38c4ef635f,Session,2022-09-01T08:48:48Z,HTTPS,2022-08-30T04:11:05Z,Accept,c0a80101-b542-0000-6310-831400000044,2,eth1-01,3667560640,Web Content,23615,Outgoing,23615,Internal,VNIT allowed sites and applications computers and business added on 290921,0,@A@@B@1662019661@C@2519216,1,TCP (6) (6),Unknown,Business / Economy,mgmt,1.66E+12,170.72.166.74,wjfkm-a-10.prod.infra.webex.com,N/A,2022-09-01T10:01:57Z,49.17,eth1-01,5880,"Business / Economy,Computers / Internet,URL Filtering",https,Business / Economy,United States,Informational,Access,URL Filtering,172.27.4.54,3,Standard,External,{78CD2304-D945-4A41-8840-0A11C19AA50D},mgmt (192.168.2.254),https,gateway.vnit.ac.in,443,192.168.2.254,TRUE,"8a5e96fb-c793-457f-b78f-c667074223a5_04b68e94-89f4-4c90-a56e-df9516dc2ab9,c1cdc3e4-a592-4c9a-aa09-05eeca850531_08739ec8-c102-4f82-b6ce-6f38c4ef635f,90215d11-457e-4db3-91e1-df29a7bacace_717afc89-c012-4346-8786-ac2b1b3f34bc",6.67E+18,352,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2022 3:31:56 PM",2022-09-01T10:01:56Z,inbound,1000869c-1ede-4ea8-8953-f806b202e6d7,Session,2022-09-01T08:48:48Z,HTTPS,2022-08-30T04:11:05Z,Accept,c0a80101-b542-0000-6310-831400000043,1,eth1-01,829709370,Web Content,23614,Outgoing,23614,Internal,Library section allowed,0,@A@@B@1662019661@C@2519215,1,TCP (6) (6),Unknown,Business / Economy,mgmt,1.66E+12,104.19.173.108,csync.loopme.me,N/A,2022-09-01T10:01:56Z,49.12,eth1-01,5880,"Business / Economy,URL Filtering",https,Business / Economy,United States,Informational,Access,URL Filtering,10.15.3.59,2,Standard,External,{78CD2304-D945-4A41-8840-0A11C19AA50D},mgmt (192.168.2.254),https,gateway.vnit.ac.in,443,192.168.2.254,TRUE,"8a5e96fb-c793-457f-b78f-c667074223a5_04b68e94-89f4-4c90-a56e-df9516dc2ab9,c1cdc3e4-a592-4c9a-aa09-05eeca850531_1000869c-1ede-4ea8-8953-f806b202e6d7,90215d11-457e-4db3-91e1-df29a7bacace_717afc89-c012-4346-8786-ac2b1b3f34bc",7.00E+16,352,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2022 3:31:56 PM",2022-09-01T10:01:56Z,inbound,1000869c-1ede-4ea8-8953-f806b202e6d7,Session,2022-09-01T08:48:48Z,HTTPS,2022-08-30T04:11:05Z,Accept,c0a80101-b542-0000-6310-831400000040,1,eth1-01,1320249577,Web Content,23611,Outgoing,23611,Internal,Library section allowed,0,@A@@B@1662019661@C@2519212,1,TCP (6) (6),Unknown,General,mgmt,1.66E+12,104.18.35.11,a.tribalfusion.com,N/A,2022-09-01T10:01:56Z,49.12,eth1-01,5880,"General,URL Filtering",https,General,United States,Informational,Access,URL Filtering,10.15.3.59,2,Standard,External,{78CD2304-D945-4A41-8840-0A11C19AA50D},mgmt (192.168.2.254),https,gateway.vnit.ac.in,443,192.168.2.254,TRUE,"8a5e96fb-c793-457f-b78f-c667074223a5_04b68e94-89f4-4c90-a56e-df9516dc2ab9,c1cdc3e4-a592-4c9a-aa09-05eeca850531_1000869c-1ede-4ea8-8953-f806b202e6d7,90215d11-457e-4db3-91e1-df29a7bacace_717afc89-c012-4346-8786-ac2b1b3f34bc",1.31E+19,352,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2022 3:31:56 PM",2022-09-01T10:01:56Z,inbound,1000869c-1ede-4ea8-8953-f806b202e6d7,Session,2022-09-01T08:48:48Z,HTTPS,2022-08-30T04:11:05Z,Accept,c0a80101-b542-0000-6310-83140000003f,1,eth1-01,2107506204,Web Content,23610,Outgoing,23610,Internal,Library section allowed,0,@A@@B@1662019661@C@2519211,1,TCP (6) (6),Unknown,General,mgmt,1.66E+12,35.186.193.173,ipac.ctnsnet.com,N/A,2022-09-01T10:01:56Z,49.12,eth1-01,5880,"General,URL Filtering",https,General,United States,Informational,Access,URL Filtering,10.15.3.59,2,Standard,External,{78CD2304-D945-4A41-8840-0A11C19AA50D},mgmt (192.168.2.254),https,gateway.vnit.ac.in,443,192.168.2.254,TRUE,"8a5e96fb-c793-457f-b78f-c667074223a5_04b68e94-89f4-4c90-a56e-df9516dc2ab9,c1cdc3e4-a592-4c9a-aa09-05eeca850531_1000869c-1ede-4ea8-8953-f806b202e6d7,90215d11-457e-4db3-91e1-df29a7bacace_717afc89-c012-4346-8786-ac2b1b3f34bc",3.78E+18,352,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2022 3:31:56 PM",2022-09-01T10:01:56Z,inbound,4a6d8a91-6b95-4070-be89-fc5e432f6fcf,Session,2022-09-01T08:48:48Z,HTTPS,2022-08-30T04:11:05Z,Accept,c0a80101-b542-0000-6310-83140000003e,7,eth1-01,3670794663,Web Content,23609,Outgoing,23609,Internal,VNIT Blocked sites and apps,0,@A@@B@1662019661@C@2519210,7,TCP (6) (6),Unknown,Web Advertisements,mgmt,1.66E+12,35.190.60.146,id.rlcdn.com,N/A,2022-09-01T11:36:28Z,49.18,eth1-01,5880,"Web Advertisements,URL Filtering",TCP_1-1024,Web Advertisements,United States,Informational,Access,URL Filtering,192.168.11.217,7,Standard,External,{78CD2304-D945-4A41-8840-0A11C19AA50D},mgmt (192.168.2.254),TCP_1-1024,gateway.vnit.ac.in,443,192.168.2.254,TRUE,"8a5e96fb-c793-457f-b78f-c667074223a5_04b68e94-89f4-4c90-a56e-df9516dc2ab9,c1cdc3e4-a592-4c9a-aa09-05eeca850531_4a6d8a91-6b95-4070-be89-fc5e432f6fcf,90215d11-457e-4db3-91e1-df29a7bacace_717afc89-c012-4346-8786-ac2b1b3f34bc",1.39E+19,352,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2022 3:31:56 PM",2022-09-01T10:01:56Z,outbound,08739ec8-c102-4f82-b6ce-6f38c4ef635f,Session,2022-09-01T08:48:48Z,,2022-08-30T04:11:05Z,Accept,c0a80101-b542-0000-6310-83140000003c,6,eth2-02,60522962,Web Content,23607,Outgoing,23607,,VNIT allowed sites and applications computers and business added on 290921,120,@A@@B@1662019661@C@2519208,3,TCP (6) (6),Low,Web Conferencing,mgmt,1.66E+12,40.70.161.7,Microsoft Teams,N/A,2022-09-01T10:58:17Z,49.17,eth2-02,5880,"Low Risk, VoIP, Web Conferencing, Microsoft & Office365 Services",https,Web Conferencing,United States,Informational,Access,"Application Control,URL Filtering",172.25.73.213,5,Standard,,{78CD2304-D945-4A41-8840-0A11C19AA50D},mgmt (192.168.2.254),https,gateway.vnit.ac.in,443,192.168.2.254,TRUE,"8a5e96fb-c793-457f-b78f-c667074223a5_04b68e94-89f4-4c90-a56e-df9516dc2ab9,c1cdc3e4-a592-4c9a-aa09-05eeca850531_08739ec8-c102-4f82-b6ce-6f38c4ef635f,90215d11-457e-4db3-91e1-df29a7bacace_717afc89-c012-4346-8786-ac2b1b3f34bc",1.79E+19,352,,60522962:14,"Microsoft Teams is a chat-based application for multiple users to interact as a team. Microsoft Teams uses STUN protocol and can be used with Office 365 applications. With Microsoft Teams, a team of users can use instant messaging, video and audio conferencing, file sharing and meeting scheduling.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2022 3:31:56 PM",2022-09-01T10:01:56Z,inbound,08739ec8-c102-4f82-b6ce-6f38c4ef635f,Session,2022-09-01T08:48:48Z,HTTPS,2022-08-30T04:11:05Z,Accept,c0a80101-b542-0000-6310-83140000003b,4,eth1-01,3445898944,Web Content,23606,Outgoing,23606,Internal,VNIT allowed sites and applications computers and business added on 290921,141,@A@@B@1662019661@C@2519207,4,TCP (6) (6),Unknown,Computers / Internet,mgmt,1.66E+12,40.70.161.7,appcenter.ms,N/A,2022-09-01T10:58:33Z,49.17,eth1-01,5880,"Computers / Internet,URL Filtering",https,Computers / Internet,United States,Informational,Access,URL Filtering,172.25.73.213,5,Standard,External,{78CD2304-D945-4A41-8840-0A11C19AA50D},mgmt (192.168.2.254),https,gateway.vnit.ac.in,443,192.168.2.254,TRUE,"8a5e96fb-c793-457f-b78f-c667074223a5_04b68e94-89f4-4c90-a56e-df9516dc2ab9,c1cdc3e4-a592-4c9a-aa09-05eeca850531_08739ec8-c102-4f82-b6ce-6f38c4ef635f,90215d11-457e-4db3-91e1-df29a7bacace_717afc89-c012-4346-8786-ac2b1b3f34bc",1.33E+19,352,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2022 3:31:56 PM",2022-09-01T10:01:56Z,inbound,4a6d8a91-6b95-4070-be89-fc5e432f6fcf,Session,2022-09-01T08:48:48Z,HTTPS,2022-08-30T04:11:05Z,Accept,c0a80101-b542-0000-6310-83140000003a,4,eth1-01,4165366692,Web Content,23605,Outgoing,23605,Internal,VNIT Blocked sites and apps,18,@A@@B@1662019661@C@2519206,4,TCP (6) (6),Unknown,Web Advertisements,mgmt,1.66E+12,8.159.244.35.bc.googleusercontent.com (35.244.159.8),us-u.openx.net,N/A,2022-09-01T10:15:17Z,49.18,eth1-01,5880,"Web Advertisements,URL Filtering",TCP_1-1024,Web Advertisements,United States,Informational,Access,URL Filtering,192.168.11.217,4,Standard,External,{78CD2304-D945-4A41-8840-0A11C19AA50D},mgmt (192.168.2.254),TCP_1-1024,gateway.vnit.ac.in,443,192.168.2.254,TRUE,"8a5e96fb-c793-457f-b78f-c667074223a5_04b68e94-89f4-4c90-a56e-df9516dc2ab9,c1cdc3e4-a592-4c9a-aa09-05eeca850531_4a6d8a91-6b95-4070-be89-fc5e432f6fcf,90215d11-457e-4db3-91e1-df29a7bacace_717afc89-c012-4346-8786-ac2b1b3f34bc",1.12E+19,352,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2022 3:31:56 PM",2022-09-01T10:01:56Z,inbound,08739ec8-c102-4f82-b6ce-6f38c4ef635f,Session,2022-09-01T08:48:48Z,HTTPS,2022-08-30T04:11:05Z,Accept,c0a80101-b542-0000-6310-831400000039,2,eth1-01,2600877302,Web Content,23604,Outgoing,23604,Internal,VNIT allowed sites and applications computers and business added on 290921,0,@A@@B@1662019661@C@2519205,1,TCP (6) (6),Unknown,Search Engines / Portals,mgmt,1.66E+12,bom12s14-in-f14.1e100.net (142.250.192.14),clients2.google.com,N/A,2022-09-01T10:01:56Z,49.17,eth1-01,5880,"Search Engines / Portals,URL Filtering",https,Search Engines / Portals,United States,Informational,Access,"Application Control,URL Filtering",172.27.35.73,3,Standard,External,{78CD2304-D945-4A41-8840-0A11C19AA50D},mgmt (192.168.2.254),https,gateway.vnit.ac.in,443,192.168.2.254,TRUE,"8a5e96fb-c793-457f-b78f-c667074223a5_04b68e94-89f4-4c90-a56e-df9516dc2ab9,c1cdc3e4-a592-4c9a-aa09-05eeca850531_08739ec8-c102-4f82-b6ce-6f38c4ef635f,90215d11-457e-4db3-91e1-df29a7bacace_717afc89-c012-4346-8786-ac2b1b3f34bc",1.04E+19,352,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2022 3:31:56 PM",2022-09-01T10:01:56Z,inbound,08739ec8-c102-4f82-b6ce-6f38c4ef635f,Session,2022-09-01T08:48:48Z,HTTPS,2022-08-30T04:11:05Z,Accept,c0a80101-b542-0000-6310-831400000038,2,eth1-01,544051760,Web Content,23603,Outgoing,23603,Internal,VNIT allowed sites and applications computers and business added on 290921,0,@A@@B@1662019661@C@2519204,2,TCP (6) (6),Unknown,Business / Economy,mgmt,1.66E+12,bom07s31-in-f10.1e100.net (142.250.183.138),geomobileservices-pa.googleapis.com,N/A,2022-09-01T11:11:02Z,49.17,eth1-01,5880,"Business / Economy,URL Filtering",https,Business / Economy,United States,Informational,Access,URL Filtering,172.25.71.154,3,Standard,External,{78CD2304-D945-4A41-8840-0A11C19AA50D},mgmt (192.168.2.254),https,gateway.vnit.ac.in,443,192.168.2.254,TRUE,"8a5e96fb-c793-457f-b78f-c667074223a5_04b68e94-89f4-4c90-a56e-df9516dc2ab9,c1cdc3e4-a592-4c9a-aa09-05eeca850531_08739ec8-c102-4f82-b6ce-6f38c4ef635f,90215d11-457e-4db3-91e1-df29a7bacace_717afc89-c012-4346-8786-ac2b1b3f34bc",1.67E+19,352,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
